# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
0 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 0 00000000.png

1 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 1 00000000.png

2 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 2 00000000.png

3 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 3 00000000.png

4 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 4 00000000.png

5 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 5 00000000.png

6 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 6 00000000.png

7 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 7 00000000.png

8 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 8 00000000.png

9 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 9 00000000.png

10 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 10 00000000.png

11 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 11 00000000.png

12 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 12 00000000.png

13 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 13 00000000.png

14 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 14 00000000.png

15 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 15 00000000.png

16 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 16 00000000.png

17 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 17 00000000.png

18 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 18 00000000.png

19 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 19 00000000.png

20 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 20 00000000.png

21 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 21 00000000.png

22 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 22 00000000.png

23 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 23 00000000.png

24 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 24 00000000.png

25 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 25 00000000.png

26 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 26 00000000.png

27 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 27 00000000.png

28 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 28 00000000.png

29 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 29 00000000.png

30 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 30 00000000.png

31 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 31 00000000.png

32 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 32 00000000.png

33 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 33 00000000.png

34 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 34 00000000.png

35 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 35 00000000.png

36 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 36 00000000.png

37 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 37 00000000.png

38 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 38 00000000.png

39 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 39 00000000.png

40 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 40 00000000.png

41 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 41 00000000.png

42 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 42 00000000.png

43 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 43 00000000.png

44 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 44 00000000.png

45 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 45 00000000.png

46 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 46 00000000.png

47 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 47 00000000.png

48 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 48 00000000.png

49 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 49 00000000.png

50 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 50 00000000.png

51 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 51 00000000.png

52 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 52 00000000.png

53 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 53 00000000.png

54 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 54 00000000.png

55 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 55 00000000.png

56 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 56 00000000.png

57 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 57 00000000.png

58 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 58 00000000.png

59 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 59 00000000.png

60 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 60 00000000.png

61 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 61 00000000.png

62 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 62 00000000.png

63 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 63 00000000.png

64 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 64 00000000.png

65 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 65 00000000.png

66 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 66 00000000.png

67 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 67 00000000.png

68 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 68 00000000.png

69 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 69 00000000.png

70 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 70 00000000.png

71 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 71 00000000.png

72 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 72 00000000.png

73 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 73 00000000.png

74 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 74 00000000.png

75 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 75 00000000.png

76 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 76 00000000.png

77 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 77 00000000.png

78 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 78 00000000.png

79 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 79 00000000.png

80 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 80 00000000.png

81 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 81 00000000.png

82 -0.865223 -0.0194315 -0.29829 -0.402534 -0.0555406 -0.0393173 2.72647 82 00000000.png

